,Price,Production_year,Mileage_km,Power_HP,Displacement_cm3,Doors_number,Features,Condition_New,Condition_Used,Vehicle_brand_Abarth,Vehicle_brand_Alfa Romeo,Vehicle_brand_Audi,Vehicle_brand_BMW,Vehicle_brand_Chevrolet,Vehicle_brand_Chrysler,Vehicle_brand_Citroën,Vehicle_brand_Cupra,Vehicle_brand_Dacia,Vehicle_brand_Dodge,Vehicle_brand_Fiat,Vehicle_brand_Ford,Vehicle_brand_Honda,Vehicle_brand_Hyundai,Vehicle_brand_Jaguar,Vehicle_brand_Jeep,Vehicle_brand_Kia,Vehicle_brand_Land Rover,Vehicle_brand_Lexus,Vehicle_brand_MINI,Vehicle_brand_Mazda,Vehicle_brand_Mercedes-Benz,Vehicle_brand_Mitsubishi,Vehicle_brand_Nissan,Vehicle_brand_Opel,Vehicle_brand_Peugeot,Vehicle_brand_Porsche,Vehicle_brand_Renault,Vehicle_brand_Saab,Vehicle_brand_Seat,Vehicle_brand_Smart,Vehicle_brand_Subaru,Vehicle_brand_Suzuki,Vehicle_brand_Toyota,Vehicle_brand_Volkswagen,Vehicle_brand_Volvo,Vehicle_brand_Škoda,Vehicle_model_107,Vehicle_model_159,Vehicle_model_2,Vehicle_model_2008,Vehicle_model_206,Vehicle_model_207,Vehicle_model_208,Vehicle_model_3,Vehicle_model_3008,Vehicle_model_301,Vehicle_model_307,Vehicle_model_308,Vehicle_model_3GT,Vehicle_model_407,Vehicle_model_5,Vehicle_model_500,Vehicle_model_5008,Vehicle_model_500L,Vehicle_model_500X,Vehicle_model_508,Vehicle_model_6,Vehicle_model_9-3,Vehicle_model_A1,Vehicle_model_A3,Vehicle_model_A4,Vehicle_model_A4 Allroad,Vehicle_model_A5,Vehicle_model_A6,Vehicle_model_A6 Allroad,Vehicle_model_A7,Vehicle_model_A8,Vehicle_model_ASX,Vehicle_model_Accord,Vehicle_model_Agila,Vehicle_model_Alhambra,Vehicle_model_Altea,Vehicle_model_Altea XL,Vehicle_model_Antara,Vehicle_model_Arona,Vehicle_model_Arteon,Vehicle_model_Astra,Vehicle_model_Ateca,Vehicle_model_Auris,Vehicle_model_Avensis,Vehicle_model_Aveo,Vehicle_model_Aygo,Vehicle_model_B-MAX,Vehicle_model_Berlingo,Vehicle_model_Bravo,Vehicle_model_C-HR,Vehicle_model_C-MAX,Vehicle_model_C1,Vehicle_model_C2,Vehicle_model_C3,Vehicle_model_C3 Aircross,Vehicle_model_C3 Picasso,Vehicle_model_C30,Vehicle_model_C4,Vehicle_model_C4 Cactus,Vehicle_model_C4 Grand Picasso,Vehicle_model_C4 Picasso,Vehicle_model_C5,Vehicle_model_C5 Aircross,Vehicle_model_CC,Vehicle_model_CL,Vehicle_model_CLA,Vehicle_model_CLK,Vehicle_model_CLS,Vehicle_model_CR-V,Vehicle_model_CX-3,Vehicle_model_CX-30,Vehicle_model_CX-5,Vehicle_model_Caddy,Vehicle_model_Camaro,Vehicle_model_Camry,Vehicle_model_Captiva,Vehicle_model_Captur,Vehicle_model_Caravelle,Vehicle_model_Carens,Vehicle_model_Cayenne,Vehicle_model_Ceed,Vehicle_model_Challenger,Vehicle_model_Cherokee,Vehicle_model_Citigo,Vehicle_model_Civic,Vehicle_model_Clio,Vehicle_model_Clubman,Vehicle_model_Colt,Vehicle_model_Combo,Vehicle_model_Compass,Vehicle_model_Cooper,Vehicle_model_Cooper S,Vehicle_model_Corolla,Vehicle_model_Corolla Verso,Vehicle_model_Corsa,Vehicle_model_Countryman,Vehicle_model_Crossland X,Vehicle_model_Cruze,Vehicle_model_DS3,Vehicle_model_DS4,Vehicle_model_DS5,Vehicle_model_Doblo,Vehicle_model_Dokker,Vehicle_model_Duster,Vehicle_model_EDGE,Vehicle_model_EcoSport,Vehicle_model_Elantra,Vehicle_model_Espace,Vehicle_model_Exeo,Vehicle_model_Fabia,Vehicle_model_Fiesta,Vehicle_model_Focus,Vehicle_model_Focus C-Max,Vehicle_model_Forester,Vehicle_model_Fortwo,Vehicle_model_Fox,Vehicle_model_Freemont,Vehicle_model_Fusion,Vehicle_model_GL,Vehicle_model_GLA,Vehicle_model_GLC,Vehicle_model_GLK,Vehicle_model_GS,Vehicle_model_Galaxy,Vehicle_model_Giulia,Vehicle_model_Giulietta,Vehicle_model_Golf,Vehicle_model_Golf Plus,Vehicle_model_Golf Sportsvan,Vehicle_model_Grand C-MAX,Vehicle_model_Grand Cherokee,Vehicle_model_Grand Espace,Vehicle_model_Grand Scenic,Vehicle_model_Grand Vitara,Vehicle_model_Grande Punto,Vehicle_model_Grandland X,Vehicle_model_HR-V,Vehicle_model_I30,Vehicle_model_IS,Vehicle_model_Ibiza,Vehicle_model_Ignis,Vehicle_model_Impreza,Vehicle_model_Insignia,Vehicle_model_Jazz,Vehicle_model_Jetta,Vehicle_model_Jimny,Vehicle_model_Juke,Vehicle_model_KA,Vehicle_model_Kadjar,Vehicle_model_Kangoo,Vehicle_model_Karoq,Vehicle_model_Klasa A,Vehicle_model_Klasa B,Vehicle_model_Klasa C,Vehicle_model_Klasa E,Vehicle_model_Klasa S,Vehicle_model_Kodiaq,Vehicle_model_Koleos,Vehicle_model_Kona,Vehicle_model_Kuga,Vehicle_model_Laguna,Vehicle_model_Lancer,Vehicle_model_Land Cruiser,Vehicle_model_Legacy,Vehicle_model_Leon,Vehicle_model_Lodgy,Vehicle_model_Logan,Vehicle_model_ML,Vehicle_model_Megane,Vehicle_model_Meriva,Vehicle_model_Micra,Vehicle_model_Mito,Vehicle_model_Modus,Vehicle_model_Mokka,Vehicle_model_Mondeo,Vehicle_model_Multivan,Vehicle_model_Mustang,Vehicle_model_NX,Vehicle_model_New Beetle,Vehicle_model_Note,Vehicle_model_ONE,Vehicle_model_OUTBACK,Vehicle_model_Octavia,Vehicle_model_Optima,Vehicle_model_Outlander,Vehicle_model_Pacifica,Vehicle_model_Panda,Vehicle_model_Partner,Vehicle_model_Passat,Vehicle_model_Passat CC,Vehicle_model_Picanto,Vehicle_model_Polo,Vehicle_model_Prius,Vehicle_model_Pro_cee'd,Vehicle_model_Puma,Vehicle_model_Punto,Vehicle_model_Punto Evo,Vehicle_model_Q2,Vehicle_model_Q3,Vehicle_model_Q5,Vehicle_model_Q7,Vehicle_model_Qashqai,Vehicle_model_Qashqai+2,Vehicle_model_RAPID,Vehicle_model_RAV4,Vehicle_model_RX,Vehicle_model_Range Rover Evoque,Vehicle_model_Range Rover Sport,Vehicle_model_Ranger,Vehicle_model_Renegade,Vehicle_model_Rifter,Vehicle_model_Rio,Vehicle_model_Roomster,Vehicle_model_S-Max,Vehicle_model_S40,Vehicle_model_S60,Vehicle_model_S80,Vehicle_model_S90,Vehicle_model_SL,Vehicle_model_SX4,Vehicle_model_SX4 S-Cross,Vehicle_model_Sandero,Vehicle_model_Sandero Stepway,Vehicle_model_Santa Fe,Vehicle_model_Scala,Vehicle_model_Scenic,Vehicle_model_Scirocco,Vehicle_model_Sedici,Vehicle_model_Seria 1,Vehicle_model_Seria 2,Vehicle_model_Seria 3,Vehicle_model_Seria 4,Vehicle_model_Seria 5,Vehicle_model_Seria 6,Vehicle_model_Seria 7,Vehicle_model_Sharan,Vehicle_model_Signum,Vehicle_model_Sorento,Vehicle_model_Space Star,Vehicle_model_Spark,Vehicle_model_Sportage,Vehicle_model_Stonic,Vehicle_model_Superb,Vehicle_model_Swift,Vehicle_model_T-Cross,Vehicle_model_T-Roc,Vehicle_model_TT,Vehicle_model_Talisman,Vehicle_model_Tiguan,Vehicle_model_Tipo,Vehicle_model_Toledo,Vehicle_model_Touareg,Vehicle_model_Touran,Vehicle_model_Tourneo Custom,Vehicle_model_Town & Country,Vehicle_model_Trafic,Vehicle_model_Transit,Vehicle_model_Transit Custom,Vehicle_model_Transporter,Vehicle_model_Tucson,Vehicle_model_Twingo,Vehicle_model_V40,Vehicle_model_V50,Vehicle_model_V60,Vehicle_model_V70,Vehicle_model_V90,Vehicle_model_Vectra,Vehicle_model_Venga,Vehicle_model_Verso,Vehicle_model_Vitara,Vehicle_model_Vito,Vehicle_model_Vivaro,Vehicle_model_W124 (1984-1993),Vehicle_model_Wrangler,Vehicle_model_X-Trail,Vehicle_model_X1,Vehicle_model_X2,Vehicle_model_X3,Vehicle_model_X4,Vehicle_model_X5,Vehicle_model_X6,Vehicle_model_XC 40,Vehicle_model_XC 60,Vehicle_model_XC 70,Vehicle_model_XC 90,Vehicle_model_XCeed,Vehicle_model_XE,Vehicle_model_XF,Vehicle_model_XJ,Vehicle_model_Xsara Picasso,Vehicle_model_Yaris,Vehicle_model_Yeti,Vehicle_model_Zafira,Vehicle_model_i10,Vehicle_model_i20,Vehicle_model_i40,Vehicle_model_ix20,Vehicle_model_ix35,Vehicle_model_up!,Fuel_type_Diesel,Fuel_type_Gasoline,Fuel_type_Gasoline + CNG,Fuel_type_Gasoline + LPG,Fuel_type_Hybrid,Drive_4x4 (attached automatically),Drive_4x4 (attached manually),Drive_4x4 (permanent),Drive_Front wheels,Drive_Rear wheels,Transmission_Automatic,Transmission_Manual,Colour_beige,Colour_black,Colour_blue,Colour_brown,Colour_burgundy,Colour_golden,Colour_gray,Colour_green,Colour_other,Colour_red,Colour_silver,Colour_violet,Colour_white,Colour_yellow
116466,11900,2006,192547.0,140.0,1796.0,5.0,35.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116467,25900,2010,119000.0,115.0,1598.0,5.0,32.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,42900,2015,125000.0,136.0,1598.0,5.0,48.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
